avg_reliability,min_reliability,on_time_rate,farm_count,quantity_buffer,avg_distance_km,max_distance_km,harvest_buffer_days,price_headroom,prior_buyer_share,fulfilled
0.6597,0.6597,0.5816,1,0.2538,254.7,254.7,2.95,0.2255,0.3039,0
0.7888,0.6912,0.8257,4,0.1155,54.6,140.3,1.52,0.2092,0.3791,0
0.8855,0.8607,0.8472,2,0.065,49.9,170.2,5.64,0.0798,0.2392,1
0.8404,0.7208,0.8175,4,0.309,155.9,184.9,3.01,0.1736,0.5205,1
0.8377,0.72,0.8516,5,0.0308,193.1,310.1,1.26,0.1464,0.5205,0
0.873,0.873,0.9111,1,0.0168,307.4,307.4,1.27,0.2206,0.6163,0
0.793,0.4909,0.8434,5,0.1377,305.6,358.0,2.66,0.0414,0.3677,0
0.7345,0.6849,0.7455,2,0.4393,88.5,110.6,8.56,0.074,0.3887,0
0.9049,0.8195,0.8543,2,0.5166,75.9,220.7,5.47,0.1237,0.1123,0
0.8825,0.7213,0.8187,5,0.1484,198.9,273.2,1.45,-0.0909,0.115,0
0.8323,0.6899,0.8323,5,0.0984,28.3,60.9,14.0,0.3088,0.6021,1
0.7757,0.7757,0.7091,1,0.5738,252.7,252.7,3.1,0.1076,0.1157,1
0.8672,0.7515,0.9718,4,0.3861,260.3,356.2,3.13,0.2388,0.0849,1
0.8157,0.5584,0.8522,4,0.2237,174.4,311.9,3.99,-0.1276,0.4472,0
0.8179,0.6818,0.83,4,0.0875,129.8,307.4,5.28,0.1865,0.9439,0
0.8595,0.688,0.9016,3,0.3198,42.6,204.1,4.3,0.0984,0.4067,1
0.9718,0.9718,0.8318,1,0.0151,259.3,259.3,2.41,0.2507,0.7083,1
0.9572,0.9572,0.8684,1,0.0517,97.6,97.6,5.11,-0.0459,0.3127,1
0.9205,0.8419,0.9006,3,0.2063,60.3,151.8,3.82,0.3692,0.1879,1
0.9335,0.9335,0.8091,1,0.1441,26.0,26.0,2.39,0.2527,0.1372,1
0.8687,0.8041,0.8907,4,0.0353,116.9,148.0,5.53,0.0797,0.7051,1
0.8392,0.7745,0.834,2,0.0672,175.2,204.6,1.72,0.3155,0.0493,0
0.8923,0.8449,0.9045,5,0.0447,179.6,240.5,3.91,0.1556,0.73,0
0.8543,0.8494,0.9083,2,0.1034,22.6,189.5,4.35,-0.0538,0.44,0
0.8951,0.8231,0.9439,5,0.7279,313.3,387.3,1.89,0.0447,0.1059,0
0.8588,0.6929,0.8268,4,0.2613,219.8,262.6,0.21,0.4259,0.2469,0
